Label,Characteristic,Year,fatal_injury_rate
Ind,Service occupations,2006,3.5
Ind,Service occupations,2007,3.4
Ind,Service occupations,2008,3.2
Ind,Service occupations,2009,3.0
Ind,Service occupations,2010,3.0
Ind,Service occupations,2011,3.2
Ind,Service occupations,2012,2.8
Ind,Service occupations,2013,2.7
Ind,Service occupations,2014,2.6
Ind,Service occupations,2015,2.8
Ind,Service occupations,2016,3.4
Ind,Service occupations,2017,3.3
Ind,Service occupations,2018,3.4
Ind,Service occupations,2019,3.2
Ind,Service occupations,2020,3.8
